Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2049,0.03,-0.01,1.01,-0.02,0.01,-0.16
2056,0.03,-0.01,1,-0.02,0.01,-0.18
2064,0.02,0,1,-0.02,0.02,-0.2
2072,0.01,0,1,-0.01,0.02,-0.22
2080,0,0.01,1.01,-0.01,0.01,-0.25
2088,-0.01,0.01,1,0,0.01,-0.27
2096,0,0.01,1,0,0.01,-0.27
2104,0,0.01,1,0,0.02,-0.26
2111,-0.02,-0.01,1,0.01,0.03,-0.25
2119,-0.02,-0.02,1,0.01,0.02,-0.24
2128,0,-0.04,1,0.01,0.01,-0.24
2136,-0.01,-0.05,1,0.02,0.01,-0.26
2143,-0.02,-0.05,1,0.02,0.01,-0.28
2151,-0.03,-0.05,1.01,0.02,0,-0.31
2159,-0.03,-0.05,1.01,0.02,-0.02,-0.33
2166,-0.04,-0.04,1.01,0.01,-0.02,-0.36
2175,-0.05,-0.03,1,0.01,-0.02,-0.38
2183,-0.05,-0.02,1,0,-0.02,-0.4
2191,-0.06,-0.01,1,0,-0.02,-0.41
2198,-0.05,-0.02,1,0,-0.02,-0.41
2206,-0.04,-0.01,1.01,0,-0.02,-0.4
2215,-0.04,-0.02,1,0,-0.02,-0.39
2222,-0.05,-0.02,1,0,-0.02,-0.37
2230,-0.06,-0.03,1,0,-0.01,-0.34
2238,-0.05,-0.03,1,0.01,-0.01,-0.33
2246,-0.05,-0.03,1,0.01,0,-0.32
2253,-0.05,-0.03,1,0.01,0.01,-0.31
2262,-0.05,-0.02,1,0.02,0,-0.3
2270,-0.06,-0.02,1,0.02,0,-0.3
2277,-0.04,-0.01,1,0.02,0,-0.29
2285,-0.04,-0.01,1,0.02,0,-0.28
2293,-0.04,-0.01,1,0.02,0,-0.27
2302,-0.04,-0.02,1.01,0.02,-0.01,-0.25
2309,-0.04,-0.02,1.01,0.02,-0.01,-0.23
2317,-0.03,-0.02,1,0.02,-0.01,-0.21
2325,-0.04,-0.03,1.01,0.01,-0.01,-0.2
2332,-0.04,-0.03,1.01,0.01,0,-0.18
2341,-0.03,-0.03,1,0.01,0,-0.16
2349,-0.04,-0.03,1.01,0.01,0.01,-0.14
2356,-0.04,-0.02,1,0.01,0.01,-0.13
2364,-0.04,-0.02,1,0.01,0.01,-0.12
2372,-0.03,-0.02,1,0.01,0.01,-0.11
2380,-0.03,-0.02,1,0.02,0.01,-0.1
2388,-0.03,-0.02,1,0.02,0.02,-0.08
2396,-0.02,-0.02,1,0.02,0.02,-0.07
2404,-0.02,-0.01,1.01,0.02,0.01,-0.07
2411,-0.03,-0.01,1.01,0.02,0.01,-0.06
2419,-0.03,0,1.01,0.01,0,-0.07
2428,-0.02,0,1.01,0.02,0.01,-0.09
2436,-0.01,0,1.01,0.01,0,-0.1
2443,-0.02,0,1.01,0.01,-0.01,-0.1
2451,-0.01,0.01,1,0.01,-0.01,-0.07
2459,-0.01,0.02,1,0.01,-0.01,-0.05
2466,-0.01,0.02,1,0.01,-0.01,-0.03
2475,0,0.02,1,0.01,-0.01,-0.01
2483,0.01,0.02,1,0.01,0,0
2490,0.01,0.02,1,0.01,0,0.01
2498,0,0.02,1,0.01,-0.01,0.02
2506,-0.01,0.02,1,0.01,-0.01,0.02
2514,-0.02,0.02,1,0.01,-0.01,0.01
2522,-0.04,0.02,1,0.01,-0.01,0.01
2530,-0.04,0.02,1,0,-0.01,0
2538,-0.04,0.02,1.01,0,-0.02,-0.01
2545,-0.04,0.02,1.01,-0.01,-0.02,-0.02
2554,-0.06,0.02,1,-0.01,-0.02,-0.03
2562,-0.02,0.02,1.01,0,-0.02,-0.05
2569,0,0.02,1,0,-0.02,-0.05
2577,0,0.02,1,0,-0.01,-0.06
2585,0,0.02,1,0.01,-0.01,-0.06
2592,-0.01,0.01,1,0.01,-0.01,-0.06
2601,-0.01,0.01,0.99,0.01,0.01,-0.06
2609,-0.06,0.01,0.99,0.01,0.01,-0.06
2617,0,0.03,1,0,0.01,-0.07
2624,-0.03,0.01,1,0,0.01,-0.08
2632,-0.1,0.02,0.99,0,-0.02,-0.08
2641,0,0.03,1,0,-0.02,-0.09
2648,-0.01,0.02,1,0,-0.01,-0.09
2656,-0.01,0.02,0.99,0,0.01,-0.08
2664,0,0.02,1,0,0.03,-0.06
2672,0,0,1,0,0.03,-0.06
2679,-0.01,-0.01,1.01,0,0.02,-0.09
2688,-0.01,-0.01,1.01,0,0.01,-0.11
2696,-0.01,-0.02,1.01,0.01,0,-0.12
2703,-0.02,-0.02,1,0,0.01,-0.14
2711,-0.02,0,1,0,0.01,-0.14
2719,-0.02,0.01,1,0,0.02,-0.12
2727,-0.01,0.03,1,-0.01,0.02,-0.09
2735,0,0.04,1.01,-0.01,0.01,-0.06
2743,0,0.04,1,-0.01,0.02,-0.01
2751,0,0.03,1,0,0.01,0.02
2758,0.01,0.01,1,0,0.02,0.04
2767,0.01,-0.03,1,0,0.02,0.02
2775,-0.01,-0.04,1,0,0.01,0
2782,0,-0.07,1,0,0.02,-0.04
2790,0,-0.05,1,-0.01,0.02,-0.07
2798,-0.02,-0.03,1,-0.01,0.02,-0.06
2805,0,0,1,0,0.03,-0.05
2814,0,-0.01,1,0,0.02,-0.07
2822,0,0.01,1,0,0.01,-0.04
2830,0.02,0.04,1,0,0,0
2837,0.03,0.03,1,0,-0.02,0.01
2845,0.03,0.03,1.01,0,-0.02,0.02
2854,0.03,0,1.01,0,-0.04,-0.01
2861,0.04,-0.02,1,0,-0.05,-0.05
2869,0.02,-0.03,1,0,-0.04,-0.08
2877,0,-0.02,1,0,-0.04,-0.11
2884,0,-0.03,1,0,-0.04,-0.14
2892,0,-0.02,1,0,-0.04,-0.15
2901,0.01,0,1,0,-0.04,-0.13
2909,0,0.01,1.01,0,-0.04,-0.12
2916,0.01,0.02,1,0,-0.04,-0.11
2924,0.04,0.02,1,0,-0.04,-0.11
2932,0.03,0.03,1,0,-0.04,-0.09
2940,0.03,0.04,1,0,-0.04,-0.08
2948,0.02,0.03,1,0,-0.04,-0.08
